run_id,delta_v,seed_offset,late_window_pass_at_8,terminal_pass_at_8,terminal_pass_at_64,terminal_valid_rate,numerical_failure,test_data_used
E8_ASYMRE_DELTAV_SCAN_20260721_01,-1.0,4000,0.1452,0.148,0.226,0.994,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-1.0,5000,0.1424,0.138,0.218,0.998,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-0.5,4000,0.1048,0.106,0.12,0.88,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-0.5,5000,0.1032,0.112,0.136,0.892,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-0.3,4000,0.1052,0.098,0.132,0.878,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-0.3,5000,0.1028,0.102,0.132,0.862,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-0.2,4000,0.0828,0.09,0.12,0.778,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-0.2,5000,0.09,0.092,0.132,0.806,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-0.1,4000,0.0724,0.09,0.124,0.704,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-0.1,5000,0.074,0.072,0.11,0.53,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-0.05,4000,0.0436,0.064,0.118,0.27,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,-0.05,5000,0.0528,0.052,0.096,0.246,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,0.0,4000,0.0304,0.034,0.048,0.278,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,0.0,5000,0.0224,0.018,0.04,0.288,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,0.1,4000,0.0192,0.024,0.032,0.236,,False
E8_ASYMRE_DELTAV_SCAN_20260721_01,0.1,5000,0.0168,0.016,0.034,0.26,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-1.0,4000,0.1452,0.148,0.226,0.994,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-1.0,5000,0.1424,0.138,0.218,0.998,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.95,4000,0.1008,0.104,0.124,0.992,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.95,5000,0.106,0.098,0.132,0.974,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.9,4000,0.1004,0.098,0.116,0.992,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.9,5000,0.1072,0.108,0.128,0.99,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.85,4000,0.0916,0.088,0.106,0.804,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.85,5000,0.1084,0.108,0.126,0.9,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.8,4000,0.1068,0.108,0.13,0.816,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.8,5000,0.104,0.102,0.12,0.908,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.7,4000,0.0968,0.096,0.114,0.982,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.7,5000,0.0772,0.072,0.096,0.79,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.6,4000,0.1,0.1,0.122,0.96,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.6,5000,0.098,0.096,0.128,0.848,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.5,4000,0.1104,0.11,0.126,0.852,,False
E8_ASYMRE_DELTAV_BOUNDARY_DENSE_20260721_01,-0.5,5000,0.1076,0.108,0.136,0.892,,False
