cell,method,alpha,c,seed,seed_offset,late_window_pass_at_8,best_pass_at_8,best_pass_at_8_step,terminal_greedy,terminal_pass_at_8,terminal_pass_at_64,terminal_valid_rate,terminal_step,numerical_failure,test_data_used
base_positive_only_alpha0_c0_seed4000,positive_only,0,0,2026074803,4000,0.136,0.206,100,0.08,0.136,0.206,0.996,1200,,False
base_positive_only_alpha0_c0_seed5000,positive_only,0,0,2026075803,5000,0.1436,0.198,300,0.07,0.15,0.218,0.994,1200,,False
base_global_alpha1_c0_seed4000,global,1,0,2026074803,4000,0.0252,0.082,200,0.002,0.028,0.056,0.206,1200,,False
base_global_alpha1_c0_seed5000,global,1,0,2026075803,5000,0.022,0.12,200,0.002,0.014,0.04,0.224,1200,,False
base_continuous_exp_alpha1_c0p051293294_seed4000,continuous_exp,1,0.051293294,2026074803,4000,0.1136,0.17,100,0.056,0.118,0.172,0.858,1200,,False
base_continuous_exp_alpha1_c0p051293294_seed5000,continuous_exp,1,0.051293294,2026075803,5000,0.11,0.128,600,0.044,0.108,0.166,0.956,1200,,False
base_continuous_exp_alpha1_c0p10536052_seed4000,continuous_exp,1,0.105360516,2026074803,4000,0.1224,0.128,700,0.058,0.122,0.168,0.776,1200,,False
base_continuous_exp_alpha1_c0p10536052_seed5000,continuous_exp,1,0.105360516,2026075803,5000,0.116,0.138,600,0.046,0.124,0.172,0.762,1200,,False
base_continuous_exp_alpha1_c0p16251893_seed4000,continuous_exp,1,0.162518929,2026074803,4000,0.1148,0.134,800,0.052,0.112,0.16,0.836,1200,,False
base_continuous_exp_alpha1_c0p16251893_seed5000,continuous_exp,1,0.162518929,2026075803,5000,0.12,0.15,600,0.056,0.116,0.164,0.782,1200,,False
base_continuous_exp_alpha1_c0p22314355_seed4000,continuous_exp,1,0.223143551,2026074803,4000,0.1308,0.142,900,0.062,0.138,0.192,0.774,1200,,False
base_continuous_exp_alpha1_c0p22314355_seed5000,continuous_exp,1,0.223143551,2026075803,5000,0.1136,0.138,700,0.072,0.126,0.164,0.804,1200,,False
base_continuous_exp_alpha1_c0p28768207_seed4000,continuous_exp,1,0.287682072,2026074803,4000,0.1068,0.226,100,0.034,0.114,0.17,0.824,1200,,False
base_continuous_exp_alpha1_c0p28768207_seed5000,continuous_exp,1,0.287682072,2026075803,5000,0.1176,0.184,100,0.062,0.122,0.16,0.804,1200,,False
base_continuous_exp_alpha1_c0p43078292_seed4000,continuous_exp,1,0.430782916,2026074803,4000,0.1212,0.254,400,0.052,0.112,0.178,0.824,1200,,False
base_continuous_exp_alpha1_c0p43078292_seed5000,continuous_exp,1,0.430782916,2026075803,5000,0.1152,0.152,300,0.05,0.098,0.166,0.8,1200,,False
base_continuous_exp_alpha1_c0p69314718_seed4000,continuous_exp,1,0.693147181,2026074803,4000,0.1324,0.164,500,0.054,0.126,0.18,0.846,1200,,False
base_continuous_exp_alpha1_c0p69314718_seed5000,continuous_exp,1,0.693147181,2026075803,5000,0.12,0.164,600,0.05,0.128,0.174,0.854,1200,,False
base_continuous_exp_alpha1_c0p91629073_seed4000,continuous_exp,1,0.916290732,2026074803,4000,0.1344,0.166,700,0.07,0.132,0.208,0.952,1200,,False
base_continuous_exp_alpha1_c0p91629073_seed5000,continuous_exp,1,0.916290732,2026075803,5000,0.1372,0.166,400,0.064,0.134,0.182,0.93,1200,,False
base_continuous_exp_alpha1_c1p2039728_seed4000,continuous_exp,1,1.203972804,2026074803,4000,0.15,0.184,100,0.084,0.152,0.214,0.984,1200,,False
base_continuous_exp_alpha1_c1p2039728_seed5000,continuous_exp,1,1.203972804,2026075803,5000,0.1372,0.168,600,0.076,0.136,0.188,0.964,1200,,False
base_continuous_exp_alpha1_c1p3862944_seed4000,continuous_exp,1,1.386294361,2026074803,4000,0.1524,0.182,700,0.078,0.164,0.224,0.978,1200,,False
base_continuous_exp_alpha1_c1p3862944_seed5000,continuous_exp,1,1.386294361,2026075803,5000,0.1452,0.164,900,0.078,0.138,0.222,0.988,1200,,False
base_continuous_exp_alpha1_c1p6094379_seed4000,continuous_exp,1,1.609437912,2026074803,4000,0.1628,0.192,100,0.088,0.168,0.228,0.99,1200,,False
base_continuous_exp_alpha1_c1p6094379_seed5000,continuous_exp,1,1.609437912,2026075803,5000,0.144,0.162,700,0.08,0.146,0.2,0.986,1200,,False
base_continuous_exp_alpha1_c1p89712_seed4000,continuous_exp,1,1.897119985,2026074803,4000,0.1572,0.18,100,0.078,0.166,0.236,0.996,1200,,False
base_continuous_exp_alpha1_c1p89712_seed5000,continuous_exp,1,1.897119985,2026075803,5000,0.1572,0.166,1200,0.078,0.166,0.228,0.986,1200,,False
base_continuous_exp_alpha1_c2p3025851_seed4000,continuous_exp,1,2.302585093,2026074803,4000,0.1396,0.154,100,0.076,0.138,0.19,0.996,1200,,False
base_continuous_exp_alpha1_c2p3025851_seed5000,continuous_exp,1,2.302585093,2026075803,5000,0.1572,0.184,300,0.098,0.16,0.216,0.986,1200,,False
base_continuous_exp_alpha1_c2p9957323_seed4000,continuous_exp,1,2.995732274,2026074803,4000,0.156,0.186,400,0.074,0.164,0.232,0.996,1200,,False
base_continuous_exp_alpha1_c2p9957323_seed5000,continuous_exp,1,2.995732274,2026075803,5000,0.1576,0.178,300,0.082,0.166,0.228,0.996,1200,,False
