alpha,lr,n,finite_parameter_count,cross_minus_8_count,cross_minus_10_count,cross_minus_12_count,cross_minus_14_count,unexpected_positive_crossing_count,reward_mean,sigma_mean,log_sigma_window_slope_mean
0.38,0.0001,5,5,0,0,0,0,0,0.7595732688903809,0.019433610141277258,-2.6730464568336294e-05
0.38,0.00025,5,5,0,0,0,0,0,0.7601019263267517,0.01771863065659996,-4.61188891433267e-05
0.38,0.0005,5,5,0,0,0,0,0,0.759486722946167,0.01682634316384788,-4.3989832906122024e-05
0.4,0.0001,5,5,5,5,5,5,0,0.7514780998229981,9.775165744939354e-05,-9.921828934841986e-05
0.4,0.00025,5,5,5,5,5,2,0,0.7586083173751831,0.00107095162384204,-0.00032407559633764756
0.4,0.0005,5,5,5,3,1,0,0,0.7501984119415284,0.00973748317919666,-0.0006755617357178648
0.5,0.0001,5,5,5,5,5,5,0,0.7436523914337159,2.5045445255500454e-06,-0.00022995009170789904
0.5,0.00025,5,5,5,5,5,5,0,0.6978247404098511,0.00015041438455226235,-0.00016475200464807516
0.5,0.0005,5,5,5,5,5,5,0,0.7343313097953796,0.00115473952027962,7.417205123738399e-05
