family,rho,n_seeds,reward_mean,reward_ci_low,reward_ci_high,terminal_far_near_gradient_ratio_mean,terminal_far_near_gradient_ratio_ci_low,terminal_far_near_gradient_ratio_ci_high,task_performance_collapse_events,support_or_variance_boundary_events,nan_inf_numerical_events,stable_plateau_2x_confirmed
exponential,0.25,20,0.6505336821079254,0.6498882016539574,0.6511823377758265,0.2954888127982399,0.2933126851774916,0.2979703817364259,0,0,0,0
exponential,0.5,20,0.6476945489645004,0.6469452023506165,0.6484552125632763,0.4511627028962346,0.44754063057528415,0.455537045013635,0,0,0,0
exponential,0.75,20,0.6464549660682678,0.6456577151268721,0.6472476480156183,0.5248619989568147,0.5210349250349385,0.5289110074576652,0,0,0,0
positive_only,1.0,20,0.6467910826206207,0.6461273822188377,0.6475231299549342,0.0,0.0,0.0,0,0,0,0
reciprocal_linear,0.25,20,0.6333347022533417,0.632422454059124,0.6342691110819578,2.274699701217261,2.2564050416078887,2.2962407561730585,0,0,0,0
reciprocal_linear,0.5,20,0.6318314492702484,0.631040946394205,0.6326050315052271,2.392142875619861,2.3727252917965025,2.413886443931126,0,0,0,0
reciprocal_linear,0.75,20,0.6319248795509338,0.6310707093030214,0.6329221230745316,2.4584524373119994,2.438522140645315,2.47848617813144,0,0,0,0
reciprocal_quadratic,0.25,20,0.6447066605091095,0.6440807835012674,0.6453400360047817,0.6733230169979754,0.6688017538023214,0.6788646163865397,0,0,0,0
reciprocal_quadratic,0.5,20,0.6433983862400054,0.6426133711636066,0.644199550896883,0.7336716614664367,0.7283737534505537,0.740193614157651,0,0,0,0
reciprocal_quadratic,0.75,20,0.6430763393640518,0.6422233565151692,0.6438905739784241,0.7698897326380523,0.7643981252100243,0.7761948836061048,0,0,0,0
unweighted,1.0,20,0.2821275256574154,0.2352412498742342,0.32678409956395627,inf,13.657756327598456,nan,10,20,0,0
