environment_validity_failures,final_expected_semantic_reward_mean,final_hidden_optimal_family_probability_mean,final_prototype_effective_support_mean,final_rare_total_probability_mean,grid_cell_id,method,nan_inf_numerical_failures,runs,support_boundary_events,task_performance_collapse_events,terminal_plateaus
0,0.5833582043647766,0.00013965773141535464,9.340819931030273,0.0002908202615799382,alpha_0p25__anchor_0p1__rho_0p25,all_negative,0,5,0,0,5
0,0.5965330719947814,0.009636369906365872,11.63171443939209,0.022390951588749885,alpha_0p25__anchor_0p1__rho_0p25,exponential_quadratic_distance,0,5,0,0,5
0,0.5905981063842773,0.006644402584061027,11.775976371765136,0.01567004658281803,alpha_0p25__anchor_0p1__rho_0p25,global_matched,0,5,0,0,5
0,0.5980322957038879,0.011788502335548401,12.634905815124512,0.032724685966968536,alpha_0p25__anchor_0p1__rho_0p25,positive_only,0,5,0,0,5
0,0.5916086554527282,0.006741742533631623,11.543672370910645,0.014922696724534034,alpha_0p25__anchor_0p1__rho_0p25,reciprocal_linear_distance,0,5,0,0,5
0,0.5935581445693969,0.007818900654092431,11.547495079040527,0.017632698640227318,alpha_0p25__anchor_0p1__rho_0p25,reciprocal_quadratic_distance,0,5,0,0,5
0,0.58970787525177,0.003778714721556753,9.428677558898926,0.006836502812802792,alpha_0p25__anchor_0p25__rho_0p25,all_negative,0,5,0,0,5
0,0.5994112849235534,0.010923441126942634,11.722749519348145,0.027734801173210144,alpha_0p25__anchor_0p25__rho_0p25,exponential_quadratic_distance,0,5,0,0,5
0,0.5963169813156128,0.009598275832831859,11.904989051818848,0.024518803507089616,alpha_0p25__anchor_0p25__rho_0p25,global_matched,0,5,0,0,5
0,0.5980322957038879,0.011788502335548401,12.634905815124512,0.032724685966968536,alpha_0p25__anchor_0p25__rho_0p25,positive_only,0,5,0,0,5
0,0.5971867442131042,0.00958619536831975,11.685251426696777,0.023914159461855888,alpha_0p25__anchor_0p25__rho_0p25,reciprocal_linear_distance,0,5,0,0,5
0,0.5981565237045288,0.010103366058319806,11.67106761932373,0.025362620875239373,alpha_0p25__anchor_0p25__rho_0p25,reciprocal_quadratic_distance,0,5,0,0,5
0,0.577620780467987,7.902469178588945e-07,7.427264976501465,1.8179235894422163e-06,alpha_0p5__anchor_0p1__rho_0p25,all_negative,0,5,5,0,0
0,0.5970390796661377,0.008813518472015858,10.910099220275878,0.018086594343185425,alpha_0p5__anchor_0p1__rho_0p25,exponential_quadratic_distance,0,5,0,0,5
0,0.5870549559593201,0.0037867320235818623,11.240739822387695,0.00825303578749299,alpha_0p5__anchor_0p1__rho_0p25,global_matched,0,5,0,0,5
0,0.5980322957038879,0.011788502335548401,12.634905815124512,0.032724685966968536,alpha_0p5__anchor_0p1__rho_0p25,positive_only,0,5,0,0,5
0,0.5885170936584473,0.003804506896995008,10.779754257202148,0.0072388055734336374,alpha_0p5__anchor_0p1__rho_0p25,reciprocal_linear_distance,0,5,0,0,5
0,0.5917560696601868,0.005666193063370883,10.784911155700684,0.010890191700309516,alpha_0p5__anchor_0p1__rho_0p25,reciprocal_quadratic_distance,0,5,0,0,5
0,0.5777713656425476,0.0003136751503916457,7.464802551269531,0.0007302862999495119,alpha_0p5__anchor_0p25__rho_0p25,all_negative,0,5,0,0,5
0,0.6006817102432251,0.010476009175181388,10.999247169494629,0.024590539932250976,alpha_0p5__anchor_0p25__rho_0p25,exponential_quadratic_distance,0,5,0,0,5
0,0.594922661781311,0.008038596948608756,11.371019744873047,0.01922045983374119,alpha_0p5__anchor_0p25__rho_0p25,global_matched,0,5,0,0,5
0,0.5980322957038879,0.011788502335548401,12.634905815124512,0.032724685966968536,alpha_0p5__anchor_0p25__rho_0p25,positive_only,0,5,0,0,5
0,0.5960253477096558,0.007908322522416711,10.919544792175293,0.01783501524478197,alpha_0p5__anchor_0p25__rho_0p25,reciprocal_linear_distance,0,5,0,0,5
0,0.598047411441803,0.008976813964545726,10.907966423034669,0.02045791018754244,alpha_0p5__anchor_0p25__rho_0p25,reciprocal_quadratic_distance,0,5,0,0,5
