protocol,embedding_mode,concentration_mode,method,alpha,far_lambda,terminal_class,count
E6-A,aligned,fixed,local_only,0.25,0.0,formal_persistent_drift_or_inconclusive,2
E6-A,aligned,fixed,local_only,0.25,0.0,formal_terminal_plateau,18
E6-A,aligned,fixed,local_only,0.5,0.0,formal_terminal_plateau,20
E6-A,aligned,fixed,local_only,0.75,0.0,formal_terminal_plateau,20
E6-A,aligned,fixed,positive_only,0.0,0.0,formal_persistent_drift_or_inconclusive,2
E6-A,aligned,fixed,positive_only,0.0,0.0,formal_terminal_plateau,18
E6-B,aligned,learnable,budget_matched_global,0.1,0.05,support_or_temperature_boundary,20
E6-B,aligned,learnable,far_cap,0.1,0.05,support_or_temperature_boundary,20
E6-B,aligned,learnable,far_zero,0.1,0.05,formal_persistent_drift_or_inconclusive,15
E6-B,aligned,learnable,far_zero,0.1,0.05,formal_terminal_plateau,5
E6-B,aligned,learnable,near_zero,0.1,0.05,support_or_temperature_boundary,20
E6-B,aligned,learnable,positive_only,0.0,0.0,formal_persistent_drift_or_inconclusive,2
E6-B,aligned,learnable,positive_only,0.0,0.0,formal_terminal_plateau,18
E6-B,aligned,learnable,uncontrolled,0.1,0.05,support_or_temperature_boundary,20
E6-C,aligned,learnable,far_cap,0.1,0.05,support_or_temperature_boundary,20
E6-C,aligned,learnable,far_zero,0.1,0.05,formal_persistent_drift_or_inconclusive,15
E6-C,aligned,learnable,far_zero,0.1,0.05,formal_terminal_plateau,5
E6-C,aligned,learnable,positive_only,0.1,0.05,formal_persistent_drift_or_inconclusive,2
E6-C,aligned,learnable,positive_only,0.1,0.05,formal_terminal_plateau,18
E6-C,aligned,learnable,uncontrolled,0.1,0.05,support_or_temperature_boundary,20
E6-C,shuffled,learnable,far_cap,0.1,0.05,formal_terminal_plateau,20
E6-C,shuffled,learnable,far_zero,0.1,0.05,formal_terminal_plateau,20
E6-C,shuffled,learnable,positive_only,0.1,0.05,formal_terminal_plateau,20
E6-C,shuffled,learnable,uncontrolled,0.1,0.05,formal_terminal_plateau,20
