protocol,embedding_mode,method,alpha,seed,support_boundary_onset_step,concentration_warning_onset_step
E6-B,aligned,budget_matched_global,0.5,0,300,1100
E6-B,aligned,budget_matched_global,0.5,1,200,1100
E6-B,aligned,budget_matched_global,0.5,2,250,1100
E6-B,aligned,budget_matched_global,0.5,3,200,1100
E6-B,aligned,budget_matched_global,0.5,4,200,1050
E6-B,aligned,far_cap,0.5,0,250,1050
E6-B,aligned,far_cap,0.5,1,200,1050
E6-B,aligned,far_cap,0.5,2,250,1050
E6-B,aligned,far_cap,0.5,3,200,1050
E6-B,aligned,far_cap,0.5,4,250,1000
E6-B,aligned,far_zero,0.5,0,400,900
E6-B,aligned,far_zero,0.5,1,350,900
E6-B,aligned,far_zero,0.5,2,350,900
E6-B,aligned,far_zero,0.5,3,350,900
E6-B,aligned,far_zero,0.5,4,350,900
E6-B,aligned,local_only,0.5,0,400,900
E6-B,aligned,local_only,0.5,1,350,900
E6-B,aligned,local_only,0.5,2,350,900
E6-B,aligned,local_only,0.5,3,350,900
E6-B,aligned,local_only,0.5,4,350,900
E6-B,aligned,near_zero,0.5,0,250,900
E6-B,aligned,near_zero,0.5,1,200,900
E6-B,aligned,near_zero,0.5,2,200,900
E6-B,aligned,near_zero,0.5,3,200,900
E6-B,aligned,near_zero,0.5,4,200,900
E6-B,aligned,uncontrolled,0.5,0,250,900
E6-B,aligned,uncontrolled,0.5,1,200,900
E6-B,aligned,uncontrolled,0.5,2,250,900
E6-B,aligned,uncontrolled,0.5,3,200,900
E6-B,aligned,uncontrolled,0.5,4,200,900
E6-C,aligned,far_cap,0.5,0,250,1050
E6-C,aligned,far_cap,0.5,1,200,1050
E6-C,aligned,far_cap,0.5,2,250,1050
E6-C,aligned,far_cap,0.5,3,200,1050
E6-C,aligned,far_cap,0.5,4,250,1000
E6-C,aligned,local_only,0.5,0,400,900
E6-C,aligned,local_only,0.5,1,350,900
E6-C,aligned,local_only,0.5,2,350,900
E6-C,aligned,local_only,0.5,3,350,900
E6-C,aligned,local_only,0.5,4,350,900
E6-C,aligned,uncontrolled,0.5,0,250,900
E6-C,aligned,uncontrolled,0.5,1,200,900
E6-C,aligned,uncontrolled,0.5,2,250,900
E6-C,aligned,uncontrolled,0.5,3,200,900
E6-C,aligned,uncontrolled,0.5,4,200,900
E6-C,shuffled,far_cap,0.5,0,300,1100
E6-C,shuffled,far_cap,0.5,1,300,950
E6-C,shuffled,far_cap,0.5,2,350,950
E6-C,shuffled,far_cap,0.5,3,300,1050
E6-C,shuffled,far_cap,0.5,4,300,1100
E6-C,shuffled,local_only,0.5,3,1950,
E6-C,shuffled,uncontrolled,0.5,0,250,900
E6-C,shuffled,uncontrolled,0.5,1,200,850
E6-C,shuffled,uncontrolled,0.5,2,250,850
E6-C,shuffled,uncontrolled,0.5,3,250,850
E6-C,shuffled,uncontrolled,0.5,4,250,850
