surprisal_decile,mean_surprisal,mean_gradient,mean_negative_coefficient_abs,n,relative_gradient_mean,relative_gradient_ci_low,relative_gradient_ci_high,relative_coeff_mean,relative_coeff_ci_low,relative_coeff_ci_high
1,2.0357320707143907,40.27405265897512,1.0,1200,1.0,1.0,1.0,1.0,1.0,1.0
2,4.28434573173523,78.09237641334533,1.0,1200,1.939024539561512,1.7806079646665414,2.1126695416004115,1.0,1.0,1.0
3,4.906388171513876,83.64497785250346,1.0,1200,2.0768949815102125,1.9071398376864532,2.230750249670068,1.0,1.0,1.0
4,5.46051673134168,90.11016970952352,1.0,1200,2.2374249364110703,2.048819961492204,2.415495341707887,1.0,1.0,1.0
5,6.090505876541138,94.2882799212138,1.0,1200,2.3411669225247818,2.148747368739647,2.538702967642429,1.0,1.0,1.0
6,7.455413175821304,99.97097340901692,1.0,1200,2.482267534770635,2.286650066092408,2.673491753976601,1.0,1.0,1.0
7,8.826395767529805,102.39954226811729,1.0,1200,2.542568614467395,2.321469894428496,2.7479717755183617,1.0,1.0,1.0
8,9.464928769270578,99.91231391270956,1.0,1200,2.480811026362999,2.272399443862288,2.6835477043415104,1.0,1.0,1.0
9,10.060875982443491,100.14087422688802,1.0,1200,2.4864861521347668,2.2739789206636103,2.6976235580618813,1.0,1.0,1.0
10,11.070930669307709,98.56251072247824,1.0,1200,2.4472955715946174,2.241643734476296,2.642687651051193,1.0,1.0,1.0
